"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
348,17925,0,435,68475,1005,289
349,28872,100,533,57528,907,189
350,0,0,354,86400,1086,289
351,17906,63,438,68494,1002,226
352,25737,88,467,60663,973,201
353,57361,193,1042,29039,398,96
354,55609,196,961,30791,479,93
355,0,0,52,86400,1388,289
356,8126,0,151,78274,1289,289
357,0,0,0,86400,1440,289
358,39103,131,653,47297,787,158
359,44578,152,766,41822,674,137
360,46787,156,781,39613,659,133
361,62507,210,1084,23893,356,79
362,57003,200,1065,29397,375,89
363,41726,101,740,44674,700,188
364,7560,0,284,78840,1156,289
365,46569,160,835,39831,605,129
366,61192,206,1106,25208,334,83
367,71278,240,1199,15122,241,49
368,60581,205,1024,25819,416,84
369,0,0,0,86400,1440,289
370,57736,193,966,28664,474,96
371,31653,115,678,54747,762,174
372,39753,133,708,46647,732,156
373,17772,62,596,68628,844,227
374,0,0,42,86400,1398,289
375,0,0,0,86400,1440,289
376,12315,0,226,74085,1214,289
377,31934,116,602,54466,838,173
378,15669,0,289,70731,1151,289
379,0,0,0,86400,1440,289
380,33401,67,572,52999,868,222
381,22605,0,467,63795,973,289
382,25962,88,553,60438,887,201
383,6723,0,238,79677,1202,289
384,61639,206,1031,24761,409,83
385,0,0,197,86400,1243,289
386,19796,66,492,66604,948,223
387,69568,233,1165,16832,275,56
388,0,0,66,86400,1374,289
389,62883,212,1049,23517,391,77
390,80726,272,1348,5674,92,17
391,58251,197,982,28149,458,92
392,0,0,0,86400,1440,289
393,61784,214,1182,24616,258,75
394,23506,82,409,62894,1031,207
395,76731,256,1280,9669,160,33
396,29013,61,603,57387,837,228
397,41271,89,771,45129,669,200
398,0,0,0,86400,1440,289
399,32419,109,543,53981,897,180
400,29681,106,529,56719,911,183
401,51015,136,938,35385,502,153
402,0,0,0,86400,1440,289
403,0,0,103,86400,1337,289
404,46199,157,880,40201,560,132
405,3715,0,69,82685,1371,289
406,0,0,0,86400,1440,289
407,51852,137,908,34548,532,152
408,79105,264,1321,7295,119,25
409,0,0,0,86400,1440,289
410,22201,79,372,64199,1068,210
411,38013,83,707,48387,733,206
412,46308,161,838,40092,602,128
413,6393,0,218,80007,1222,289
414,0,0,22,86400,1418,289
415,11105,0,191,75295,1249,289
416,0,0,96,86400,1344,289
417,23765,81,437,62635,1003,208
418,0,0,25,86400,1415,289
419,39915,114,718,46485,722,175
420,0,0,110,86400,1330,289
421,4987,0,273,81413,1167,289
422,15675,0,270,70725,1170,289
423,0,0,13,86400,1427,289
424,39139,118,812,47261,628,171
425,31614,77,638,54786,802,212
426,19719,69,405,66681,1035,220
427,27903,86,617,58497,823,203
428,0,0,137,86400,1303,289
429,19546,66,430,66854,1010,223
430,0,0,0,86400,1440,289
431,26495,99,609,59905,831,190
432,0,0,0,86400,1440,289
433,13867,0,365,72533,1075,289
434,0,0,0,86400,1440,289
435,21113,80,409,65287,1031,209
436,40787,82,813,45613,627,207
437,0,0,14,86400,1426,289
438,20140,68,373,66260,1067,221
439,15043,0,251,71357,1189,289
440,57731,168,1037,28669,403,121
441,57087,161,1011,29313,429,128
442,63871,216,1066,22529,374,73
443,52464,175,887,33936,553,114
444,34152,102,620,52248,820,187
445,45121,155,753,41279,687,134
446,36896,124,803,49504,637,165
447,36219,121,672,50181,768,168
448,0,0,59,86400,1381,289
449,23708,78,486,62692,954,211
450,61031,205,1019,25369,421,84
451,30500,102,627,55900,813,187
452,8540,0,212,77860,1228,289
453,6781,0,138,79619,1302,289
454,20333,68,339,66067,1101,221
455,0,0,0,86400,1440,289
456,5899,0,113,80501,1327,289
457,0,0,0,86400,1440,289
458,23045,77,468,63355,972,212
459,37054,113,659,49346,781,176
460,4219,0,71,82181,1369,289
461,70994,239,1212,15406,228,50
462,66281,226,1145,20119,295,63
463,32034,81,687,54366,753,208
464,5996,0,142,80404,1298,289
465,60897,189,1128,25503,312,100
466,63821,213,1149,22579,291,76
467,6476,0,226,79924,1214,289
468,65561,220,1098,20839,342,69
469,0,0,0,86400,1440,289
470,0,0,67,86400,1373,289
471,40317,99,846,46083,594,190
472,38437,135,780,47963,660,154
473,57144,198,1001,29256,439,91
474,0,0,0,86400,1440,289
475,6969,0,200,79431,1240,289
476,0,0,0,86400,1440,289
477,0,0,43,86400,1397,289
478,11991,0,238,74409,1202,289
479,66979,226,1121,19421,319,63
480,36468,92,711,49932,729,197
481,33576,0,814,52824,626,289
482,33042,115,820,53358,620,174
483,26334,72,445,60066,995,217
484,76670,256,1318,9730,122,33
485,0,0,0,86400,1440,289
486,0,0,0,86400,1440,289
487,42227,109,781,44173,659,180
488,61727,207,1033,24673,407,82
489,15331,0,395,71069,1045,289
490,59317,205,989,27083,451,84
491,0,0,0,86400,1440,289
492,7144,0,163,79256,1277,289
493,13418,0,360,72982,1080,289
494,33492,0,727,52908,713,289
495,34796,136,655,51604,785,153
496,4073,0,213,82327,1227,289
497,58447,143,1133,27953,307,146
498,49124,166,870,37276,570,123
499,0,0,61,86400,1379,289
500,14152,62,300,72248,1140,227
501,0,0,24,86400,1416,289
502,53424,185,918,32976,522,104
503,0,0,20,86400,1420,289
504,6208,0,135,80192,1305,289
505,57443,182,1045,28957,395,107
506,0,0,0,86400,1440,289
507,0,0,0,86400,1440,289
508,19141,0,469,67259,971,289
509,13614,0,268,72786,1172,289
510,0,0,0,86400,1440,289
511,51227,145,956,35173,484,144
512,47226,163,792,39174,648,126
513,10094,0,182,76306,1258,289
514,7634,0,235,78766,1205,289
515,0,0,0,86400,1440,289
516,0,0,79,86400,1361,289
517,0,0,41,86400,1399,289
518,54699,190,990,31701,450,99
519,21280,96,492,65120,948,193
520,79389,265,1327,7011,113,24
521,0,0,53,86400,1387,289
522,28488,98,520,57912,920,191
523,21453,83,488,64947,952,206
524,0,0,0,86400,1440,289
525,0,0,0,86400,1440,289
526,0,0,33,86400,1407,289
527,0,0,0,86400,1440,289
528,17847,60,298,68553,1142,229
529,35063,87,773,51337,667,202
530,29687,101,495,56713,945,188
531,20285,69,404,66115,1036,220
532,70408,240,1200,15992,240,49
533,25996,92,505,60404,935,197
534,28068,0,475,58332,965,289
535,55165,188,921,31235,519,101
536,11603,0,353,74797,1087,289
537,65505,220,1120,20895,320,69
538,3867,0,92,82533,1348,289
539,0,0,0,86400,1440,289
540,35931,121,688,50469,752,168
541,40495,139,830,45905,610,150
542,17386,0,321,69014,1119,289
543,0,0,15,86400,1425,289
544,16250,62,417,70150,1023,227
545,50872,134,877,35528,563,155
546,0,0,0,86400,1440,289
547,28461,117,526,57939,914,172
548,0,0,0,86400,1440,289
549,46816,123,840,39584,600,166
550,0,0,128,86400,1312,289
551,64895,217,1107,21505,333,72
552,0,0,38,86400,1402,289
553,20336,0,373,66064,1067,289
554,0,0,179,86400,1261,289
555,0,0,0,86400,1440,289
556,36880,124,706,49520,734,165
557,0,0,20,86400,1420,289
558,18247,0,391,68153,1049,289
559,0,0,0,86400,1440,289
560,25134,84,421,61266,1019,205
561,40928,100,759,45472,681,189
562,60903,205,1018,25497,422,84
563,42689,145,716,43711,724,144
564,33313,81,629,53087,811,208
565,56524,189,944,29876,496,100
566,14199,0,401,72201,1039,289
567,0,0,139,86400,1301,289
568,0,0,0,86400,1440,289
569,81421,272,1363,4979,77,17
570,0,0,185,86400,1255,289
571,37562,126,627,48838,813,163
572,76507,257,1277,9893,163,32
573,72542,242,1230,13858,210,47
574,0,0,0,86400,1440,289
575,47384,159,790,39016,650,130
576,20030,0,470,66370,970,289
577,75275,252,1257,11125,183,37
578,6398,0,189,80002,1251,289
579,57428,193,1047,28972,393,96
580,51259,174,879,35141,561,115
581,6138,0,126,80262,1314,289
582,7665,0,164,78735,1276,289
583,45348,63,834,41052,606,226
584,62932,212,1083,23468,357,77
585,0,0,140,86400,1300,289
586,0,0,102,86400,1338,289
587,0,0,87,86400,1353,289
588,7720,0,236,78680,1204,289
589,12275,0,280,74125,1160,289
590,0,0,46,86400,1394,289
591,0,0,119,86400,1321,289
592,20276,0,496,66124,944,289
593,27207,92,454,59193,986,197
594,54915,188,923,31485,517,101
595,0,0,0,86400,1440,289
596,20657,72,350,65743,1090,217
597,0,0,44,86400,1396,289
598,8062,0,306,78338,1134,289
599,42979,110,799,43421,641,179
