"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
498,48225,169,836,38175,604,120
499,14186,0,290,72214,1150,289
500,38227,0,715,48173,725,289
501,7257,0,326,79143,1114,289
502,77226,258,1289,9174,151,31
503,0,0,0,86400,1440,289
504,0,0,0,86400,1440,289
505,20273,0,368,66127,1072,289
506,0,0,306,86400,1134,289
507,0,0,0,86400,1440,289
508,10237,0,298,76163,1142,289
509,41617,139,850,44783,590,150
510,53186,0,910,33214,530,289
511,57329,210,1048,29071,392,79
512,0,0,0,86400,1440,289
513,0,0,99,86400,1341,289
514,0,0,0,86400,1440,289
515,56417,137,945,29983,495,152
516,69420,207,1184,16980,256,82
517,14418,0,272,71982,1168,289
518,27920,131,648,58480,792,158
519,0,0,0,86400,1440,289
520,77186,261,1287,9214,153,28
521,19319,0,323,67081,1117,289
522,0,0,24,86400,1416,289
523,44102,0,790,42298,650,289
524,57682,152,1106,28718,334,137
525,0,0,49,86400,1391,289
526,0,0,26,86400,1414,289
527,0,0,0,86400,1440,289
528,74271,248,1240,12129,200,41
529,44526,151,747,41874,693,138
530,0,0,0,86400,1440,289
531,57477,200,992,28923,448,89
532,16070,0,269,70330,1171,289
533,0,0,0,86400,1440,289
534,51950,175,1047,34450,393,114
535,0,0,27,86400,1413,289
536,0,0,57,86400,1383,289
537,57965,216,1065,28435,375,73
538,0,0,0,86400,1440,289
539,0,0,198,86400,1242,289
540,46054,157,845,40346,595,132
541,64405,154,1171,21995,269,135
542,0,0,33,86400,1407,289
543,8163,0,261,78237,1179,289
544,45093,153,803,41307,637,136
545,67649,227,1128,18751,312,62
546,36520,0,922,49880,518,289
547,12893,0,283,73507,1157,289
548,0,0,0,86400,1440,289
549,0,0,342,86400,1098,289
550,0,0,41,86400,1399,289
551,20983,0,375,65417,1065,289
552,76398,255,1304,10002,136,34
553,15305,0,391,71095,1049,289
554,0,0,73,86400,1367,289
555,22207,0,371,64193,1069,289
556,0,0,0,86400,1440,289
557,57457,193,958,28943,482,96
558,53472,180,1087,32928,353,109
559,0,0,88,86400,1352,289
560,14607,0,244,71793,1196,289
561,45108,155,885,41292,555,134
562,40517,0,752,45883,688,289
563,22677,0,410,63723,1030,289
564,21386,0,426,65014,1014,289
565,12183,0,494,74217,946,289
566,52806,186,907,33594,533,103
567,46700,0,972,39700,468,289
568,42886,146,799,43514,641,143
569,16997,0,285,69403,1155,289
570,31046,0,522,55354,918,289
571,45880,158,789,40520,651,131
572,39715,150,891,46685,549,139
573,0,0,139,86400,1301,289
574,24852,0,631,61548,809,289
575,0,0,0,86400,1440,289
576,0,0,42,86400,1398,289
577,0,0,0,86400,1440,289
578,0,0,388,86400,1052,289
579,11817,0,200,74583,1240,289
580,39219,0,900,47181,540,289
581,0,0,0,86400,1440,289
582,12519,0,210,73881,1230,289
583,30902,0,524,55498,916,289
584,56835,190,1177,29565,263,99
585,55947,187,935,30453,505,102
586,7303,0,305,79097,1135,289
587,0,0,0,86400,1440,289
588,67574,235,1127,18826,313,54
589,17335,0,290,69065,1150,289
590,9441,0,273,76959,1167,289
591,20280,0,559,66120,881,289
592,0,0,0,86400,1440,289
593,0,0,0,86400,1440,289
594,52128,177,869,34272,571,112
595,0,0,170,86400,1270,289
596,0,0,0,86400,1440,289
597,40804,138,739,45596,701,151
598,81333,274,1366,5067,74,15
599,0,0,0,86400,1440,289
600,0,0,58,86400,1382,289
601,36345,122,1038,50055,402,167
602,0,0,59,86400,1381,289
603,7293,0,221,79107,1219,289
604,0,0,29,86400,1411,289
605,0,0,0,86400,1440,289
606,40435,0,695,45965,745,289
607,32440,0,834,53960,606,289
608,19219,0,321,67181,1119,289
609,13692,0,234,72708,1206,289
610,0,0,0,86400,1440,289
611,33340,0,763,53060,677,289
612,19165,0,574,67235,866,289
613,8670,0,391,77730,1049,289
614,36880,146,729,49520,711,143
615,71064,237,1185,15336,255,52
616,10160,0,302,76240,1138,289
617,0,0,0,86400,1440,289
618,35070,123,699,51330,741,166
619,0,0,0,86400,1440,289
620,0,0,0,86400,1440,289
621,0,0,176,86400,1264,289
622,23798,0,534,62602,906,289
623,50108,0,921,36292,519,289
624,0,0,387,86400,1053,289
625,55070,184,985,31330,455,105
626,0,0,55,86400,1385,289
627,0,0,55,86400,1385,289
628,54627,187,911,31773,529,102
629,0,0,34,86400,1406,289
630,50883,175,852,35517,588,114
631,0,0,66,86400,1374,289
632,10693,0,238,75707,1202,289
633,0,0,103,86400,1337,289
634,0,0,0,86400,1440,289
635,60215,217,1049,26185,391,72
636,7993,0,404,78407,1036,289
637,16686,0,421,69714,1019,289
638,0,0,85,86400,1355,289
639,0,0,71,86400,1369,289
640,0,0,0,86400,1440,289
641,60732,206,1029,25668,411,83
642,53785,188,934,32615,506,101
643,25629,0,494,60771,946,289
644,0,0,51,86400,1389,289
645,40987,138,756,45413,684,151
646,53480,124,1003,32920,437,165
647,32188,0,538,54212,902,289
648,0,0,0,86400,1440,289
649,43593,148,727,42807,713,141
650,24722,0,415,61678,1025,289
651,0,0,0,86400,1440,289
652,21848,0,452,64552,988,289
653,0,0,0,86400,1440,289
654,10893,0,418,75507,1022,289
655,62209,201,1118,24191,322,88
656,28783,127,755,57617,685,162
657,9801,0,237,76599,1203,289
658,71726,240,1196,14674,244,49
659,68615,211,1196,17785,244,78
660,0,0,246,86400,1194,289
661,9797,0,163,76603,1277,289
662,23244,0,427,63156,1013,289
663,22322,0,478,64078,962,289
664,23486,0,448,62914,992,289
665,34101,0,657,52299,783,289
666,13388,0,226,73012,1214,289
667,26748,135,714,59652,726,154
668,0,0,107,86400,1333,289
669,18216,0,323,68184,1117,289
670,45106,166,825,41294,615,123
671,33291,0,682,53109,758,289
672,19920,0,429,66480,1011,289
673,0,0,26,86400,1414,289
674,22256,0,371,64144,1069,289
675,0,0,0,86400,1440,289
676,0,0,34,86400,1406,289
677,18677,0,315,67723,1125,289
678,44209,0,932,42191,508,289
679,33437,0,640,52963,800,289
680,0,0,0,86400,1440,289
681,0,0,163,86400,1277,289
682,11453,0,262,74947,1178,289
683,63480,213,1152,22920,288,76
684,0,0,149,86400,1291,289
685,34886,0,582,51514,858,289
686,60072,203,1011,26328,429,86
687,0,0,0,86400,1440,289
688,0,0,0,86400,1440,289
689,0,0,26,86400,1414,289
690,41024,142,738,45376,702,147
691,0,0,53,86400,1387,289
