"Trial","X1.Second.Residency","X1.Minute.Residency","X5.Minute.Residency","X1.Hour.Visits..1.Second.","X1.Hour.Visits..1.Minute.","X1.Hour.Visits..5.Minutes.","X2.Hour.Visits..1.Second.","X2.Hour.Visits..1.Minute.","X2.Hour.Visits..5.Minutes.","half.Hour.Visits..1.Second.","half.Hour.Visits..1.Minute.","half.Hour.Visits..5.Minutes."
461,0.366789736229905,0.287994448299792,0.29757785467128,2,2,2,2,2,2,2,2,2
462,0.322021735859539,0.253990284524636,0.238754325259516,2,2,2,2,2,2,2,2,3
463,0.856402124975405,0.655794587092297,0.664359861591695,2,2,2,2,2,2,2,2,2
464,0.822895568338329,0.672449687716863,0.705882352941177,2,2,2,2,2,2,2,2,3
465,0.880603233758869,0.789729354614851,0.782006920415225,2,2,2,1,2,2,3,2,2
466,0.398421314568118,0.346981263011797,0.321799307958477,2,2,2,2,2,2,2,2,3
467,0.507077464381199,0.353920888272033,0.377162629757785,3,4,3,3,3,3,4,4,5
468,0.728116572724853,0.505204718945177,0.522491349480969,2,2,2,2,2,2,3,4,4
469,0.924804111063529,0.693962526023595,0.709342560553633,1,2,2,1,1,2,2,2,3
470,0.669043182370574,0.541290770298404,0.55363321799308,2,2,3,2,2,2,3,4,4
471,0.71001493038275,0.662040249826509,0.674740484429066,2,2,2,2,2,2,4,4,2
472,0.252821147903381,0.185981956974323,0.186851211072664,3,3,3,2,2,2,3,3,3
473,0.372785037210217,0.256072172102706,0.256055363321799,3,3,4,3,3,3,3,3,6
474,0.478593997754656,0.269257460097155,0.224913494809689,4,3,4,3,3,3,4,5,10
475,0.94979224777491,0.773074253990285,0.782006920415225,2,2,2,1,1,1,2,2,2
476,0.816437309753359,0.615544760582929,0.588235294117647,2,2,2,2,2,2,2,2,2
477,0.318943067788567,0.221374045801527,0.259515570934256,2,2,2,2,2,2,2,2,2
478,0.98656265552482,0.836918806384455,0.858131487889273,1,1,1,1,1,1,1,1,2
479,0.566104558975012,0.366412213740458,0.401384083044983,3,3,4,2,2,3,6,6,7
480,0.821622434925522,0.584316446911867,0.577854671280277,2,2,2,2,2,2,3,3,3
481,0.586474693579935,0.417765440666204,0.384083044982699,4,4,3,3,3,3,4,4,5
482,0.904422402518489,0.753643303261624,0.775086505190311,2,2,2,1,1,2,3,2,2
483,0.373317438455573,0.249826509368494,0.26643598615917,3,3,4,3,3,3,4,4,5
484,0.440978692376246,0.250520471894518,0.221453287197232,3,3,2,2,2,2,4,4,5
485,0.330598025485816,0.256072172102706,0.262975778546713,2,2,2,2,2,2,2,2,2
486,0.713961643962454,0.577376821651631,0.560553633217993,2,2,4,2,2,2,4,5,7
487,0.861378919225472,0.549618320610687,0.501730103806228,1,1,3,1,1,1,3,3,4
488,0.415122510156132,0.249826509368494,0.252595155709343,3,3,3,2,2,2,3,3,4
489,0.255541023830743,0.154059680777238,0.155709342560554,4,3,4,4,3,3,5,4,5
490,0.849804979109038,0.608605135322693,0.629757785467128,2,2,2,2,2,2,2,3,5
491,0.926817976643789,0.762664816099931,0.795847750865052,2,2,2,1,1,1,2,2,2
492,0.526625849237856,0.452463566967384,0.453287197231834,4,4,4,2,2,3,4,4,4
493,0.685802247659171,0.510062456627342,0.505190311418685,3,4,4,1,1,2,4,5,8
494,1,0.868841082581541,0.892733564013841,1,1,1,1,1,1,1,1,1
495,0.599055566486499,0.519777931991672,0.494809688581315,2,2,2,2,2,2,2,2,2
496,0.976250274881078,0.84941013185288,0.837370242214533,1,1,1,1,1,1,2,2,2
497,1,0.85912560721721,0.868512110726644,1,1,1,1,1,1,1,1,1
498,1,0.910478834142956,0.910034602076125,1,1,1,1,1,1,1,1,1
499,0.29180217821553,0.22970159611381,0.217993079584775,3,3,3,2,2,3,3,4,4
500,0.426071457506279,0.26439972241499,0.29757785467128,3,3,3,3,3,3,3,4,4
501,1,0.866065232477446,0.865051903114187,1,1,1,1,1,1,1,1,2
502,0.602909688545271,0.547536433032616,0.529411764705882,2,2,2,2,2,2,2,2,2
503,0.43661531695235,0.271339347675226,0.242214532871972,5,3,4,2,2,2,7,5,7
504,0.840707862177521,0.68910478834143,0.678200692041522,2,2,3,1,1,1,4,5,7
505,0.308075138019236,0.246356696738376,0.231833910034602,2,3,4,2,2,3,4,4,4
506,0.169801275448201,0.122137404580153,0.110726643598616,2,2,2,2,2,2,2,2,2
507,0.732641983310378,0.489937543372658,0.487889273356401,3,3,3,2,2,2,5,4,3
508,0.283110149188088,0.237335183900069,0.228373702422145,2,2,2,2,2,2,2,2,3
509,0.247358248168424,0.198473282442748,0.204152249134948,4,3,3,3,3,3,4,3,4
510,1,0.870229007633588,0.920415224913495,1,1,1,1,1,1,1,1,1
511,0.0988530225344614,0.0700902151283831,0.055363321799308,2,2,2,2,2,2,2,2,3
512,0.11583199268527,0.080499653018737,0.0865051903114187,2,2,2,2,2,2,2,2,2
513,0.579738660432171,0.443442054129077,0.422145328719723,3,3,3,2,2,3,3,3,3
514,0.711727873519982,0.478140180430257,0.508650519031142,3,3,3,2,3,3,5,5,5
515,0.816194257010914,0.709229701596114,0.70242214532872,3,3,3,2,2,2,4,4,4
516,0.562493489658685,0.406662040249826,0.373702422145329,2,2,3,2,2,2,3,3,4
517,0.920105091376257,0.750173490631506,0.743944636678201,2,2,2,1,1,2,2,2,2
518,0.73883404127267,0.52116585704372,0.543252595155709,2,2,3,2,2,2,3,4,3
519,0.676832444068934,0.47675225537821,0.470588235294118,2,2,2,2,2,2,3,3,2
520,0.333167440191664,0.221374045801527,0.193771626297578,2,2,3,2,2,2,3,3,5
521,0.932165136977581,0.703678001387925,0.692041522491349,1,1,1,1,1,1,1,1,3
522,1,0.946564885496183,0.944636678200692,1,1,1,1,1,1,1,1,1
523,0.499971065149709,0.404580152671756,0.41522491349481,3,3,3,3,3,3,4,4,3
524,0.597435214870198,0.431644691186676,0.41522491349481,3,3,3,3,3,3,4,6,9
525,0.971273480631011,0.759195003469813,0.764705882352941,1,1,1,1,1,1,1,2,3
526,0.950301501140033,0.732130464954892,0.726643598615917,1,1,2,1,1,1,1,2,2
527,0.735107232555179,0.584316446911867,0.560553633217993,2,2,2,2,2,2,2,2,3
528,0.438744921933774,0.347675225537821,0.335640138408304,2,2,2,2,2,2,3,2,2
529,0.972118378259511,0.851492019430951,0.86159169550173,1,1,1,1,1,1,1,1,2
530,0.977048876749112,0.83206106870229,0.823529411764706,1,1,1,1,1,1,1,1,2
531,0.532632724158285,0.449687716863289,0.456747404844291,2,2,2,2,2,2,2,2,2
532,1,0.959056210964608,0.958477508650519,1,1,1,1,1,1,1,1,1
533,0.283249036469485,0.224149895905621,0.228373702422145,3,3,3,3,3,3,3,3,3
534,0.40114119049548,0.340041637751561,0.346020761245675,4,4,4,3,3,3,5,5,4
535,0.240471753799146,0.15822345593338,0.14878892733564,4,4,3,3,3,2,4,4,3
536,0.336396569484149,0.213740458015267,0.186851211072664,2,2,2,2,2,2,2,3,5
537,0.427078390296409,0.34559333795975,0.332179930795848,2,2,2,2,2,2,2,2,3
538,1,0.904927133934768,0.896193771626298,1,1,1,1,1,1,1,1,1
539,0.994004699019687,0.85704371963914,0.858131487889273,1,1,1,1,1,1,1,1,1
540,0.884272172775778,0.685634975711312,0.688581314878893,1,1,2,1,1,1,2,3,4
541,0.22848115183852,0.147814018043026,0.131487889273356,5,5,3,3,3,2,7,6,3
542,0.61573361419428,0.426092990978487,0.411764705882353,3,3,3,3,3,3,3,3,4
543,0.999560190275576,0.855655794587092,0.86159169550173,1,1,1,1,1,1,1,1,2
544,0.479577782664552,0.320610687022901,0.356401384083045,3,5,4,2,3,3,6,5,5
545,0.896077591694541,0.70853573907009,0.750865051903114,2,2,3,1,1,2,2,2,3
546,0.297531278573165,0.22206800832755,0.238754325259516,2,2,2,2,2,2,2,2,2
547,0.189743174268816,0.156835530881332,0.179930795847751,2,2,2,2,2,2,2,2,2
548,0.39322461545584,0.294240111034004,0.283737024221453,3,3,2,2,2,2,3,3,2
549,0.184037221791414,0.154059680777238,0.145328719723183,2,2,2,2,2,2,3,3,4
550,0.492170229511233,0.31852879944483,0.314878892733564,4,4,5,2,2,3,4,4,6
551,0.91435284313839,0.60999306037474,0.633217993079585,1,1,2,1,1,1,2,2,3
552,0.812536891934121,0.702984038861901,0.737024221453287,2,2,2,2,2,2,3,3,3
553,0.750755199592597,0.58501040943789,0.55363321799308,3,3,3,2,2,3,3,3,6
554,0.271478339371072,0.219292158223456,0.228373702422145,2,2,2,2,2,2,2,2,2
555,0.181861321049525,0.108952116585704,0.100346020761246,3,3,3,2,2,2,3,3,3
556,0.713406094836865,0.439278278972935,0.44636678200692,2,2,2,2,2,2,3,4,7
557,0.870973715581996,0.737682165163081,0.716262975778547,2,2,2,2,2,2,2,2,2
558,0.316119026400157,0.172796668979875,0.179930795847751,3,3,3,3,3,3,4,4,5
559,0.194754690339232,0.151283830673144,0.14878892733564,2,2,2,2,2,2,2,2,2
560,1,0.798750867453157,0.795847750865052,1,1,1,1,1,1,1,1,1
561,0.080647214731311,0.0603747397640527,0.069204152249135,2,2,2,2,2,2,2,2,2
562,1,0.892435808466343,0.899653979238754,1,1,1,1,1,1,1,1,1
563,0.813300771981806,0.62734212352533,0.619377162629758,2,3,3,2,2,2,3,3,5
564,0.413305401557852,0.359472588480222,0.366782006920415,2,2,2,2,2,2,2,3,3
565,0.952396384301108,0.702290076335878,0.681660899653979,1,1,1,1,1,1,1,1,4
566,0.231363062927512,0.147814018043026,0.134948096885813,2,3,4,2,2,2,4,4,6
567,0.345389520954619,0.224149895905621,0.211072664359862,3,3,3,2,2,2,4,4,5
568,0.438698626173308,0.313671061762665,0.29757785467128,3,3,3,3,3,3,3,3,4
569,0.977210911910742,0.825121443442054,0.813148788927336,1,1,1,1,1,1,1,1,3
570,0.597354197289383,0.449687716863289,0.418685121107266,2,2,3,2,2,2,2,2,3
571,0.64273561648592,0.531575294934074,0.522491349480969,2,3,3,2,2,2,5,4,3
572,0.556590780199303,0.357390700902151,0.366782006920415,5,5,5,4,4,4,5,5,5
573,0.427738104883045,0.31852879944483,0.314878892733564,3,3,3,3,3,3,4,4,4
574,0.66928623511302,0.448299791811242,0.442906574394464,3,3,3,3,3,3,4,4,6
575,0.918577331280888,0.879944482997918,0.875432525951557,2,2,2,1,1,2,2,2,2
576,0.087371673938959,0.0673143650242887,0.069204152249135,3,2,2,3,2,2,3,2,2
577,0.640328236941702,0.527411519777932,0.484429065743945,3,3,3,3,3,3,4,5,6
578,0.439138435897733,0.365718251214434,0.366782006920415,4,4,5,3,3,3,5,5,5
579,0.901227995046354,0.591256072172103,0.622837370242215,2,2,2,1,1,2,2,2,2
580,0.661612712815824,0.384455239417071,0.394463667820069,3,3,3,2,2,2,4,5,7
581,0.659980787259407,0.519083969465649,0.491349480968858,2,2,2,2,2,2,2,2,2
