Iteration,Blue_Path_Total_Gaps_Sum,Positions_1_Min_Total_Gaps_Sum,Positions_5_Min_Total_Gaps_Sum,Blue_Path_Residency_Time,Positions_1_Min_Residency_Time,Positions_5_Min_Residency_Time
250,61626,209,1123,24774,317,80
251,25552,87,426,60848,1014,202
252,66447,223,1155,19953,285,66
253,15688,62,338,70712,1102,227
254,11173,0,290,75227,1150,289
255,0,0,148,86400,1292,289
256,25021,84,454,61379,986,205
257,67900,213,1173,18500,267,76
258,52543,180,876,33857,564,109
259,37258,117,665,49142,775,172
260,0,0,6,86400,1434,289
261,30381,102,599,56019,841,187
262,33725,122,590,52675,850,167
263,67850,233,1161,18550,279,56
264,36209,120,639,50191,801,169
265,40237,141,705,46163,735,148
266,0,0,114,86400,1326,289
267,35492,100,629,50908,811,189
268,2395,0,65,84005,1375,289
269,59957,201,1011,26443,429,88
270,45171,131,926,41229,514,158
271,57237,181,997,29163,443,108
272,3663,0,127,82737,1313,289
273,29220,66,623,57180,817,223
274,21374,76,385,65026,1055,213
275,0,0,44,86400,1396,289
276,70513,241,1230,15887,210,48
277,38114,133,694,48286,746,156
278,69150,240,1212,17250,228,49
279,63043,220,1105,23357,335,69
280,45432,176,855,40968,585,113
281,15096,61,334,71304,1106,228
282,60836,196,1117,25564,323,93
283,40618,145,801,45782,639,144
284,4934,0,120,81466,1320,289
285,2825,0,74,83575,1366,289
286,13966,0,343,72434,1097,289
287,33332,100,595,53068,845,189
288,3549,0,125,82851,1315,289
289,47937,160,820,38463,620,129
290,56441,194,969,29959,471,95
291,2984,0,94,83416,1346,289
292,0,0,17,86400,1423,289
293,56221,198,1029,30179,411,91
294,49078,168,868,37322,572,121
295,0,0,0,86400,1440,289
296,13697,47,257,72703,1183,242
297,5317,0,143,81083,1297,289
298,2888,0,134,83512,1306,289
299,0,0,0,86400,1440,289
300,25625,91,453,60775,987,198
301,0,0,0,86400,1440,289
302,29873,108,555,56527,885,181
303,46158,124,832,40242,608,165
304,29209,91,576,57191,864,198
305,0,0,24,86400,1416,289
306,63826,211,1124,22574,316,78
307,56820,184,995,29580,445,105
308,0,0,11,86400,1429,289
309,31479,109,671,54921,769,180
310,60778,193,1035,25622,405,96
311,18978,64,326,67422,1114,225
312,6575,0,181,79825,1259,289
313,70471,245,1201,15929,239,44
314,0,0,12,86400,1428,289
315,0,0,0,86400,1440,289
316,58463,167,1090,27937,350,122
317,9041,36,228,77359,1212,253
318,0,0,6,86400,1434,289
319,17496,64,375,68904,1065,225
320,0,0,19,86400,1421,289
321,33691,91,729,52709,711,198
322,11079,0,299,75321,1141,289
323,62931,212,1057,23469,383,77
324,8415,33,174,77985,1266,256
325,0,0,0,86400,1440,289
326,5878,0,137,80522,1303,289
327,16270,58,352,70130,1088,231
328,3119,0,126,83281,1314,289
329,28551,110,611,57849,829,179
330,5986,0,152,80414,1288,289
331,59611,203,1034,26789,406,86
332,20302,70,360,66098,1080,219
333,24848,83,428,61552,1012,206
334,23559,75,405,62841,1035,214
335,18239,38,384,68161,1056,251
336,13174,39,424,73226,1016,250
337,59683,193,1058,26717,382,96
338,0,0,8,86400,1432,289
339,39423,136,709,46977,731,153
340,9483,36,238,76917,1202,253
341,61014,207,1035,25386,405,82
342,45937,136,810,40463,630,153
343,0,0,6,86400,1434,289
344,41637,142,712,44763,728,147
345,69695,242,1206,16705,234,47
346,19553,62,417,66847,1023,227
347,3490,31,125,82910,1315,258
348,32834,117,605,53566,835,172
349,37256,128,623,49144,817,161
350,0,0,7,86400,1433,289
351,35546,121,619,50854,821,168
352,35305,100,662,51095,778,189
353,0,0,7,86400,1433,289
354,33989,114,595,52411,845,175
355,73213,244,1314,13187,126,45
356,23528,63,513,62872,927,226
357,43822,120,794,42578,646,169
358,0,0,12,86400,1428,289
359,0,0,61,86400,1379,289
360,27113,64,507,59287,933,225
361,0,0,9,86400,1431,289
362,11056,38,240,75344,1200,251
363,38324,93,778,48076,662,196
364,2442,0,70,83958,1370,289
365,27874,78,559,58526,881,211
366,38374,131,710,48026,730,158
367,63763,214,1094,22637,346,75
368,48635,163,887,37765,553,126
369,56681,185,975,29719,465,104
370,77627,261,1308,8773,132,28
371,49725,167,872,36675,568,122
372,21612,76,383,64788,1057,213
373,64968,231,1145,21432,295,58
374,25191,38,611,61209,829,251
375,12999,0,248,73401,1192,289
376,17720,46,421,68680,1019,243
377,5510,0,248,80890,1192,289
378,0,0,12,86400,1428,289
379,6575,0,168,79825,1272,289
380,31638,99,536,54762,904,190
381,4123,0,163,82277,1277,289
382,37516,128,685,48884,755,161
383,61433,208,1100,24967,340,81
384,45990,159,834,40410,606,130
385,31502,107,527,54898,913,182
386,43880,160,845,42520,595,129
387,0,0,0,86400,1440,289
388,35169,111,677,51231,763,178
389,0,0,139,86400,1301,289
390,0,0,0,86400,1440,289
391,28177,89,546,58223,894,200
392,48395,148,875,38005,565,141
393,39475,126,674,46925,766,163
394,28521,103,566,57879,874,186
395,0,0,55,86400,1385,289
396,0,0,25,86400,1415,289
397,0,0,82,86400,1358,289
398,0,0,38,86400,1402,289
399,74230,249,1291,12170,149,40
400,39147,80,785,47253,655,209
401,46486,166,835,39914,605,123
402,20917,42,449,65483,991,247
403,0,0,7,86400,1433,289
404,42213,132,757,44187,683,157
405,0,0,0,86400,1440,289
406,0,0,178,86400,1262,289
407,39638,116,860,46762,580,173
408,24846,89,454,61554,986,200
409,14848,44,280,71552,1160,245
410,6631,0,225,79769,1215,289
411,13355,47,295,73045,1145,242
412,0,0,50,86400,1390,289
413,11715,41,204,74685,1236,248
414,2830,0,89,83570,1351,289
415,0,0,12,86400,1428,289
416,0,0,16,86400,1424,289
417,28357,68,678,58043,762,221
418,20382,57,464,66018,976,232
419,23164,58,486,63236,954,231
420,70389,242,1237,16011,203,47
421,23468,81,508,62932,932,208
422,0,0,0,86400,1440,289
423,26712,99,465,59688,975,190
424,41502,117,714,44898,726,172
425,0,0,40,86400,1400,289
426,28174,96,624,58226,816,193
427,38558,130,653,47842,787,159
428,5195,0,180,81205,1260,289
429,44413,110,943,41987,497,179
430,74719,251,1252,11681,188,38
431,45863,149,845,40537,595,140
432,25689,70,537,60711,903,219
433,21873,69,492,64527,948,220
434,45672,139,807,40728,633,150
435,55937,176,996,30463,444,113
436,24241,97,498,62159,942,192
437,0,0,40,86400,1400,289
438,16853,43,329,69547,1111,246
439,58231,203,1008,28169,432,86
440,21810,75,389,64590,1051,214
441,14526,30,311,71874,1129,259
442,16841,40,408,69559,1032,249
443,0,0,0,86400,1440,289
444,15185,52,298,71215,1142,237
445,22889,71,507,63511,933,218
446,17530,48,342,68870,1098,241
447,24036,82,426,62364,1014,207
448,41914,140,895,44486,545,149
449,36719,132,654,49681,786,157
450,0,0,6,86400,1434,289
451,7002,0,260,79398,1180,289
452,0,0,0,86400,1440,289
453,44329,140,855,42071,585,149
454,4232,0,153,82168,1287,289
455,4489,0,76,81911,1364,289
456,24464,76,465,61936,975,213
457,32480,115,550,53920,890,174
458,65503,226,1104,20897,336,63
459,0,0,14,86400,1426,289
460,32217,111,576,54183,864,178
461,0,0,16,86400,1424,289
462,0,0,23,86400,1417,289
463,49346,173,843,37054,597,116
464,77222,259,1311,9178,129,30
465,26240,68,516,60160,924,221
466,21453,54,431,64947,1009,235
467,17148,65,329,69252,1111,224
468,44300,128,852,42100,588,161
469,15171,53,361,71229,1079,236
470,19874,42,363,66526,1077,247
471,33284,111,565,53116,875,178
472,0,0,0,86400,1440,289
473,24956,36,583,61444,857,253
474,31589,114,607,54811,833,175
475,11464,0,429,74936,1011,289
476,24984,89,452,61416,988,200
477,16992,64,384,69408,1056,225
478,59191,166,1033,27209,407,123
479,13143,45,272,73257,1168,244
480,0,0,71,86400,1369,289
481,67640,231,1142,18760,298,58
482,20380,71,436,66020,1004,218
483,0,0,52,86400,1388,289
484,1991,0,93,84409,1347,289
485,57061,180,961,29339,479,109
486,6040,0,137,80360,1303,289
487,0,0,0,86400,1440,289
488,29568,101,500,56832,940,188
489,15840,48,336,70560,1104,241
490,0,0,0,86400,1440,289
491,44668,167,957,41732,483,122
492,0,0,48,86400,1392,289
493,58532,196,1008,27868,432,93
494,56130,182,1014,30270,426,107
495,46108,155,801,40292,639,134
496,70186,234,1198,16214,242,55
497,3854,0,142,82546,1298,289
498,67707,227,1133,18693,307,62
499,0,0,0,86400,1440,289
500,0,0,86,86400,1354,289
501,16613,56,407,69787,1033,233
502,42302,130,894,44098,546,159
503,12443,47,308,73957,1132,242
504,58934,197,983,27466,457,92
505,0,0,37,86400,1403,289
506,4421,0,273,81979,1167,289
507,40291,116,692,46109,748,173
508,71397,247,1266,15003,174,42
509,0,0,68,86400,1372,289
510,13471,31,291,72929,1149,258
511,70337,249,1244,16063,196,40
512,0,0,0,86400,1440,289
513,20747,70,359,65653,1081,219
514,0,0,0,86400,1440,289
515,0,0,7,86400,1433,289
516,77565,273,1351,8835,89,16
517,0,0,8,86400,1432,289
518,7315,0,255,79085,1185,289
519,17049,32,367,69351,1073,257
520,16512,36,397,69888,1043,253
521,36768,100,643,49632,797,189
522,24428,97,464,61972,976,192
523,43018,128,812,43382,628,161
524,24809,65,485,61591,955,224
525,7308,0,226,79092,1214,289
526,0,0,54,86400,1386,289
527,21879,41,521,64521,919,248
528,39002,133,721,47398,719,156
529,35122,85,730,51278,710,204
530,11250,0,301,75150,1139,289
531,2152,0,110,84248,1330,289
532,32494,103,558,53906,882,186
533,67358,227,1138,19042,302,62
534,28370,47,527,58030,913,242
535,0,0,70,86400,1370,289
536,0,0,0,86400,1440,289
537,36756,126,632,49644,808,163
538,0,0,0,86400,1440,289
539,33595,90,689,52805,751,199
540,0,0,85,86400,1355,289
541,66149,222,1124,20251,316,67
542,44346,132,774,42054,666,157
543,0,0,0,86400,1440,289
544,3829,0,167,82571,1273,289
545,24578,84,440,61822,1000,205
546,70625,239,1178,15775,262,50
547,53619,189,999,32781,441,100
548,8945,0,207,77455,1233,289
549,4269,0,138,82131,1302,289
550,37675,133,828,48725,612,156
551,26017,91,467,60383,973,198
552,8124,0,175,78276,1265,289
553,9569,0,183,76831,1257,289
554,8783,0,268,77617,1172,289
555,34798,117,616,51602,824,172
556,5289,0,194,81111,1246,289
557,36013,85,687,50387,753,204
558,0,0,18,86400,1422,289
559,4861,0,175,81539,1265,289
560,55687,195,987,30713,453,94
561,65547,222,1122,20853,318,67
562,19696,35,381,66704,1059,254
563,0,0,30,86400,1410,289
564,37133,140,744,49267,696,149
565,35920,97,645,50480,795,192
566,60246,208,1025,26154,415,81
567,63615,217,1066,22785,374,72
568,34270,117,599,52130,841,172
569,9769,30,251,76631,1189,259
570,0,0,0,86400,1440,289
571,19335,37,489,67065,951,252
572,15745,39,406,70655,1034,250
573,4507,0,100,81893,1340,289
574,2095,0,76,84305,1364,289
575,0,0,12,86400,1428,289
576,41462,130,743,44938,697,159
577,11379,0,250,75021,1190,289
578,62699,197,1159,23701,281,92
579,41766,101,758,44634,682,188
580,0,0,27,86400,1413,289
581,12910,35,292,73490,1148,254
582,39788,133,684,46612,756,156
583,2855,0,131,83545,1309,289
584,9576,36,210,76824,1230,253
585,74121,253,1266,12279,174,36
586,36374,102,737,50026,703,187
587,41995,131,771,44405,669,158
588,0,0,43,86400,1397,289
589,54630,169,973,31770,467,120
590,19070,33,372,67330,1068,256
591,70909,239,1210,15491,230,50
592,0,0,7,86400,1433,289
593,42885,144,716,43515,724,145
594,0,0,0,86400,1440,289
595,17023,59,320,69377,1120,230
596,33056,114,561,53344,879,175
597,7460,0,305,78940,1135,289
598,46977,160,794,39423,646,129
599,36227,97,721,50173,719,192
600,0,0,0,86400,1440,289
601,19039,69,465,67361,975,220
602,33025,58,664,53375,776,231
603,4210,0,139,82190,1301,289
604,68997,230,1200,17403,240,59
605,9863,30,301,76537,1139,259
606,29524,101,660,56876,780,188
607,65604,215,1171,20796,269,74
608,69837,235,1184,16563,256,54
609,56515,201,1006,29885,434,88
610,64403,232,1189,21997,251,57
611,42359,144,809,44041,631,145
612,28774,70,517,57626,923,219
613,0,0,46,86400,1394,289
614,6348,0,158,80052,1282,289
615,0,0,6,86400,1434,289
616,0,0,36,86400,1404,289
617,0,0,21,86400,1419,289
618,57661,193,970,28739,470,96
619,0,0,125,86400,1315,289
620,0,0,0,86400,1440,289
621,19151,73,443,67249,997,216
622,30127,82,603,56273,837,207
623,0,0,54,86400,1386,289
624,0,0,7,86400,1433,289
625,11853,38,266,74547,1174,251
626,69367,232,1186,17033,254,57
627,68441,219,1174,17959,266,70
628,0,0,0,86400,1440,289
629,4498,0,183,81902,1257,289
630,0,0,178,86400,1262,289
631,30290,103,537,56110,903,186
632,3255,0,97,83145,1343,289
633,52573,159,919,33827,521,130
634,0,0,42,86400,1398,289
635,0,0,0,86400,1440,289
636,63160,214,1128,23240,312,75
637,37468,128,831,48932,609,161
638,62701,210,1059,23699,381,79
639,60636,162,1046,25764,394,127
640,0,0,81,86400,1359,289
641,12976,0,231,73424,1209,289
642,49765,167,838,36635,602,122
643,43469,126,757,42931,683,163
644,33240,116,601,53160,839,173
645,11868,32,226,74532,1214,257
646,79934,267,1337,6466,103,22
647,9475,0,267,76925,1173,289
648,54556,193,934,31844,506,96
649,0,0,42,86400,1398,289
650,46992,156,983,39408,457,133
651,0,0,70,86400,1370,289
652,61728,206,1030,24672,410,83
653,0,0,0,86400,1440,289
654,8181,0,170,78219,1270,289
655,2116,0,109,84284,1331,289
656,27040,76,662,59360,778,213
657,0,0,15,86400,1425,289
658,36973,118,632,49427,808,171
659,4283,0,108,82117,1332,289
660,0,0,63,86400,1377,289
661,0,0,0,86400,1440,289
662,1891,0,192,84509,1248,289
663,61294,206,1041,25106,399,83
664,0,0,65,86400,1375,289
665,42333,145,815,44067,625,144
666,58269,190,1030,28131,410,99
667,3063,0,196,83337,1244,289
668,62432,212,1055,23968,385,77
669,5352,0,194,81048,1246,289
670,66415,223,1162,19985,278,66
671,63108,190,1103,23292,337,99
672,2014,0,87,84386,1353,289
673,24391,84,602,62009,838,205
674,27389,53,572,59011,868,236
675,39134,131,653,47266,787,158
676,0,0,12,86400,1428,289
677,60006,197,1076,26394,364,92
678,26894,96,520,59506,920,193
679,0,0,0,86400,1440,289
680,0,0,71,86400,1369,289
681,10173,45,249,76227,1191,244
682,9973,0,390,76427,1050,289
683,0,0,45,86400,1395,289
684,0,0,0,86400,1440,289
685,40451,135,733,45949,707,154
