"Trial","Curious_1_Min","Curious_5_Min","Aggressive_1_Min","Aggressive_5_Min"
598,12,3,3,1
599,10,2,3,1
600,2,0,4,1
601,5,1,2,1
602,0,0,3,0
603,4,1,3,0
604,6,2,5,1
605,11,3,3,0
606,5,1,5,1
607,9,2,3,1
608,5,1,3,1
609,6,2,4,1
610,8,2,4,0
611,8,2,4,1
612,8,2,4,1
613,0,0,4,1
614,7,2,5,1
615,9,2,4,1
616,9,2,4,1
617,4,1,4,0
618,9,2,3,1
619,4,1,4,1
620,10,2,3,1
621,8,2,4,1
622,5,1,4,1
623,3,1,4,1
624,4,1,4,1
625,10,2,6,1
626,5,1,3,1
627,7,2,3,0
628,11,3,4,1
629,0,0,3,0
630,10,2,4,1
631,6,1,3,1
632,9,2,3,1
633,8,2,4,1
634,9,1,4,1
635,2,0,5,1
636,0,0,4,0
637,6,2,3,1
638,7,2,2,1
639,4,0,3,1
640,3,0,4,0
641,7,2,0,0
642,4,1,4,1
643,7,2,4,1
644,8,2,3,1
645,0,0,3,1
646,5,1,3,1
647,11,3,3,1
648,5,1,3,1
649,9,2,7,1
650,0,0,3,1
651,5,1,4,0
652,7,1,4,1
653,4,1,4,1
654,9,2,3,1
655,0,0,4,1
656,3,0,2,0
657,5,1,3,1
658,6,2,4,1
659,8,2,4,1
660,8,2,3,1
661,0,0,4,1
662,6,1,4,0
663,0,0,4,1
664,7,2,3,0
665,0,0,3,0
666,0,0,0,0
667,6,2,3,1
668,11,3,3,0
669,1,0,4,1
670,0,0,3,1
671,4,1,4,0
672,0,0,4,1
673,10,2,4,0
674,11,2,4,1
675,8,1,4,1
676,7,2,4,1
677,6,1,4,1
678,6,1,3,1
679,9,2,4,1
680,0,0,3,1
681,0,0,3,1
682,0,0,3,1
683,11,3,4,0
684,6,2,4,1
685,5,1,3,1
686,10,2,4,1
687,10,2,4,1
688,8,2,3,1
689,0,0,3,1
690,10,2,4,1
691,4,1,2,1
692,10,2,3,0
693,0,0,7,1
694,4,1,4,1
695,0,0,3,1
696,6,1,3,1
697,3,1,3,1
698,11,2,3,1
699,8,1,4,1
700,8,2,3,0
701,4,1,4,1
702,10,2,4,1
703,4,1,2,1
704,8,2,3,1
705,6,1,3,1
706,8,2,2,1
707,1,0,3,1
708,8,2,3,1
709,6,2,4,1
710,0,0,4,1
711,5,1,2,1
712,8,2,0,0
713,10,2,3,1
714,0,0,3,1
715,10,2,3,0
716,0,0,3,1
717,9,1,3,1
718,10,2,3,0
719,0,0,4,1
720,6,2,3,1
721,7,1,2,1
722,9,2,3,0
723,11,2,3,1
724,9,2,2,1
725,7,1,4,1
726,0,0,4,0
727,4,0,3,1
728,11,3,3,1
729,5,1,2,1
730,0,0,2,1
731,2,1,4,0
732,8,2,3,1
733,5,1,4,1
734,6,2,3,0
735,3,1,3,1
736,5,1,1,0
737,10,3,3,0
738,0,0,3,0
739,8,2,2,1
740,5,1,3,1
741,9,2,3,1
742,9,2,7,2
743,8,2,3,1
744,6,2,3,1
745,8,1,3,1
746,0,0,4,1
747,2,0,2,0
748,0,0,4,1
749,2,0,2,1
750,9,2,2,1
751,8,1,5,1
752,5,1,3,1
753,8,2,3,0
754,5,1,2,0
755,10,2,3,1
756,3,1,3,1
757,0,0,3,1
758,0,0,3,1
759,10,2,4,1
760,0,0,4,1
761,10,2,3,1
762,3,1,4,1
763,0,0,3,1
764,5,1,3,1
765,8,2,3,0
766,7,2,4,1
767,9,1,3,1
768,3,1,4,0
769,0,0,3,0
770,7,2,3,1
771,8,2,2,1
772,10,2,4,1
773,7,2,4,0
774,8,2,3,0
775,4,0,4,1
776,9,1,4,1
777,0,0,0,0
778,6,2,2,0
779,0,0,8,1
780,0,0,4,0
781,9,2,3,1
782,0,0,3,0
783,0,0,2,0
