"Trial","X1.Second.Residency","X1.Minute.Residency","X5.Minute.Residency","X1.Hour.Visits..1.Second.","X1.Hour.Visits..1.Minute.","X1.Hour.Visits..5.Minutes.","X1.Hour.Total.Time..1.Second.","X1.Hour.Total.Time..1.Minute.","X1.Hour.Total.Time..5.Minutes.","X2.Hour.Visits..1.Second.","X2.Hour.Visits..1.Minute.","X2.Hour.Visits..5.Minutes.","X2.Hour.Total.Time..1.Second.","X2.Hour.Total.Time..1.Minute.","X2.Hour.Total.Time..5.Minutes.","Half.Hour.Visits..1.Second.","Half.Hour.Visits..1.Minute.","Half.Hour.Visits..5.Minutes.","Half.Hour.Total.Time..1.Second.","Half.Hour.Total.Time..1.Minute.","Half.Hour.Total.Time..5.Minutes."
141,1,0.939625260235947,0.927335640138408,1,1,1,86401,81240,80400,1,1,1,86401,81240,80400,1,1,1,86401,81240,80400
142,0.900163192555642,0.625260235947259,0.619377162629758,1,2,2,77775,54060,53700,1,1,2,77775,54060,53700,4,3,5,77775,54060,53700
143,0.982025670999178,0.648160999306037,0.636678200692042,1,1,1,84848,56040,55200,1,1,1,84848,56040,55200,1,1,5,84848,56040,55200
144,1,0.902151283830673,0.892733564013841,1,1,1,86401,78000,77400,1,1,1,86401,78000,77400,1,1,1,86401,78000,77400
145,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
146,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
147,0.375805835580607,0.258154059680777,0.26643598615917,2,1,1,32470,22320,23100,1,1,1,32470,22320,23100,2,1,1,32470,22320,23100
148,1,0.793893129770992,0.795847750865052,1,1,1,86401,68640,69000,1,1,1,86401,68640,69000,1,1,1,86401,68640,69000
149,0.485260587261721,0.301873698820264,0.290657439446367,2,2,2,41927,26100,25200,1,1,1,41927,26100,25200,2,2,2,41927,26100,25200
150,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
151,1,0.816793893129771,0.806228373702422,1,1,1,86401,70620,69900,1,1,1,86401,70620,69900,1,1,1,86401,70620,69900
152,0.70488767491117,0.399722414989591,0.394463667820069,2,2,3,60903,34560,34200,2,2,2,60903,34560,34200,4,4,5,60903,34560,34200
153,1,0.820957668285913,0.813148788927336,1,1,1,86401,70980,70500,1,1,1,86401,70980,70500,1,1,1,86401,70980,70500
154,0.860939109501047,0.652324774462179,0.602076124567474,2,2,2,74386,56400,52200,2,2,2,74386,56400,52200,2,2,3,74386,56400,52200
155,1,0.896599583622484,0.899653979238754,1,1,1,86401,77520,78000,1,1,1,86401,77520,78000,1,1,1,86401,77520,78000
